Nivel                N=0                  N=1                  N=2                 
0                    1                    1                    1                   
1                    2                    2                    2                   
2                    6                    4                    4                   
3                    17                   9                    9                   
4                    53                   20                   20                  
5                    157                  37                   37                  
6                    483                  64                   64                  
7                    1450                 128                  128                 
8                    4426                 255                  255                 
9                    13361                491                  491                 
10                   40635                937                  937                 
11                   122969               1802                 1802                
12                   373373               3507                 3507                
13                   1131142              6760                 6760                
14                   3431970              13000                13000               
15                   10402381             25143                25143               
16                   31551133             48619                48619               
17                   95653493             93757                93757               
18                   290080335            180666               180666              
19                   879523718            348899               348899              
20                   2667079286           674340               674340              
                                                                                   
